Date,Sentiment
2014-01-01,NEU
2014-01-02,NEU
2014-01-03,POS
2014-01-05,NEU
2014-01-06,NEU
2014-01-07,POS
2014-01-08,POS
2014-01-09,NEU
2014-01-10,POS
2014-01-11,NEG
2014-01-12,NEG
2014-01-13,POS
2014-01-14,NEG
2014-01-15,NEU
2014-01-16,NEU
2014-01-20,NEU
2014-01-21,NEU
2014-01-22,NEG
2014-01-23,NEG
2014-01-24,NEU
2014-01-26,POS
2014-01-27,POS
2014-01-28,NEU
2014-01-29,POS
2014-01-30,NEU
2014-01-31,POS
2014-02-02,POS
2014-02-03,POS
2014-02-04,POS
2014-02-05,POS
2014-02-07,NEU
2014-02-08,NEU
2014-02-09,NEU
2014-02-12,NEU
2014-02-14,NEU
2014-02-18,NEU
2014-02-19,NEU
2014-02-20,NEU
2014-02-21,NEG
2014-02-22,NEU
2014-02-23,NEU
2014-02-24,NEU
2014-02-25,NEU
2014-02-26,POS
2014-02-27,POS
2014-02-28,NEU
2014-03-03,POS
2014-03-04,NEU
2014-03-06,NEU
2014-03-07,NEG
2014-03-08,POS
2014-03-10,NEU
2014-03-11,NEU
2014-03-12,POS
2014-03-16,NEU
2014-03-17,NEU
2014-03-18,NEU
2014-03-19,NEU
2014-03-20,NEU
2014-03-22,NEU
2014-03-23,POS
2014-03-24,POS
2014-03-25,NEU
2014-03-28,NEU
2014-03-29,NEU
2014-03-31,NEU
2014-04-01,NEU
2014-04-02,NEU
2014-04-03,POS
2014-04-04,NEU
2014-04-05,POS
2014-04-06,NEU
2014-04-07,NEU
2014-04-08,NEU
2014-04-09,NEG
2014-04-10,POS
2014-04-11,NEU
2014-04-12,NEU
2014-04-14,NEU
2014-04-15,POS
2014-04-16,POS
2014-04-17,NEU
2014-04-18,NEU
2014-04-19,NEU
2014-04-20,NEU
2014-04-21,NEU
2014-04-22,POS
2014-04-23,POS
2014-04-24,POS
2014-04-25,NEG
2014-04-26,NEG
2014-04-27,NEG
2014-04-28,POS
2014-04-29,NEU
2014-04-30,POS
2014-05-01,POS
2014-05-02,NEU
2014-05-03,NEU
2014-05-04,NEU
2014-05-05,NEG
2014-05-06,POS
2014-05-07,POS
2014-05-08,NEU
2014-05-09,NEU
2014-05-11,POS
2014-05-12,NEG
2014-05-13,NEU
2014-05-14,NEU
2014-05-16,NEU
2014-05-17,NEU
2014-05-18,NEU
2014-05-19,NEU
2014-05-20,POS
2014-05-21,NEU
2014-05-22,POS
2014-05-23,NEG
2014-05-24,NEU
2014-05-25,NEU
2014-05-26,NEG
2014-05-27,NEU
2014-05-28,NEU
2014-05-29,NEG
2014-05-30,NEU
2014-05-31,NEG
2014-06-01,NEU
2014-06-02,POS
2014-06-03,NEU
2014-06-04,NEU
2014-06-05,POS
2014-06-06,NEG
2014-06-09,POS
2014-06-10,NEU
2014-06-11,NEU
2014-06-12,NEU
2014-06-13,POS
2014-06-14,POS
2014-06-18,NEU
2014-06-19,POS
2014-06-21,NEU
2014-06-24,POS
2014-06-25,NEU
2014-06-26,NEU
2014-06-27,NEU
2014-06-30,NEU
2014-07-01,NEU
2014-07-02,POS
2014-07-03,NEU
2014-07-04,NEU
2014-07-05,POS
2014-07-06,POS
2014-07-07,POS
2014-07-08,NEU
2014-07-09,NEU
2014-07-11,NEU
2014-07-12,POS
2014-07-13,POS
2014-07-14,POS
2014-07-15,NEG
2014-07-16,POS
2014-07-17,POS
2014-07-18,NEU
2014-07-19,NEU
2014-07-20,NEU
2014-07-21,NEU
2014-07-22,NEG
2014-07-23,NEU
2014-07-24,NEU
2014-07-25,NEU
2014-07-26,POS
2014-07-28,NEU
2014-07-29,POS
2014-08-01,POS
2014-08-02,NEU
2014-08-03,NEU
2014-08-04,POS
2014-08-10,POS
2014-08-11,NEU
2014-08-12,NEG
2014-08-13,NEU
2014-08-14,NEU
2014-08-15,NEU
2014-08-18,NEU
2014-08-19,POS
2014-08-20,POS
2014-08-21,NEU
2014-08-25,NEU
2014-08-27,NEU
2014-08-28,NEU
2014-08-29,POS
2014-08-30,NEU
2014-08-31,NEU
2014-09-01,NEG
2014-09-03,NEU
2014-09-04,POS
2014-09-06,NEU
2014-09-07,POS
2014-09-09,POS
2014-09-10,POS
2014-09-11,NEU
2014-09-12,POS
2014-09-14,POS
2014-09-15,NEU
2014-09-16,POS
2014-09-18,NEU
2014-09-19,NEU
2014-09-20,NEU
2014-09-22,POS
2014-09-23,NEU
2014-09-29,NEU
2014-09-30,NEU
2014-10-01,NEU
2014-10-03,NEU
2014-10-04,NEU
2014-10-06,NEU
2014-10-07,POS
2014-10-08,NEU
2014-10-10,POS
2014-10-11,NEU
2014-10-13,NEU
2014-10-14,NEG
2014-10-15,POS
2014-10-16,NEU
2014-10-18,NEU
2014-10-21,NEG
2014-10-23,NEU
2014-10-25,NEU
2014-10-27,NEU
2014-10-28,NEU
2014-10-29,NEU
2014-10-30,NEU
2014-11-03,NEU
2014-11-05,NEU
2014-11-08,NEU
2014-11-09,NEU
2014-11-25,NEU
2014-11-26,POS
2014-11-27,NEG
2014-11-29,NEU
2014-11-30,POS
2014-12-01,NEU
2014-12-02,POS
2014-12-03,POS
2014-12-04,NEU
2014-12-06,NEU
2014-12-07,NEU
2014-12-08,POS
2014-12-09,NEG
2014-12-10,NEG
2014-12-11,POS
2014-12-14,NEU
2014-12-15,NEU
2014-12-16,NEU
2014-12-17,POS
2014-12-19,NEU
2014-12-22,POS
2014-12-23,NEU
2014-12-24,NEU
2014-12-25,NEU
2014-12-27,POS
2014-12-31,NEU
2015-01-02,POS
2015-01-03,POS
2015-01-04,NEU
2015-01-05,NEU
2015-01-06,POS
2015-01-07,NEU
2015-01-08,NEU
2015-01-10,NEU
2015-01-11,POS
2015-01-12,NEU
2015-01-13,NEU
2015-01-14,NEU
2015-01-15,NEU
2015-01-16,POS
2015-01-17,NEU
2015-01-18,NEU
2015-01-21,POS
2015-01-23,POS
2015-01-25,NEU
2015-01-26,NEU
2015-01-27,NEU
2015-01-28,NEG
2015-01-29,POS
2015-01-31,NEU
2015-02-03,NEG
2015-02-04,NEU
2015-02-05,NEU
2015-02-06,NEU
2015-02-08,NEU
2015-02-09,NEU
2015-02-10,NEU
2015-02-11,NEU
2015-02-12,NEU
2015-02-13,NEU
2015-02-14,POS
2015-02-15,NEG
2015-02-16,NEU
2015-02-17,POS
2015-02-18,NEU
2015-02-19,NEG
2015-02-20,NEU
2015-02-22,NEU
2015-02-23,NEU
2015-02-24,NEU
2015-02-25,POS
2015-02-26,POS
2015-02-27,NEU
2015-02-28,NEU
2015-03-02,POS
2015-03-03,POS
2015-03-04,NEU
2015-03-05,NEU
2015-03-06,NEU
2015-03-07,NEU
2015-03-10,NEU
2015-03-11,POS
2015-03-12,NEG
2015-03-13,NEU
2015-03-14,NEU
2015-03-16,NEG
2015-03-17,NEG
2015-03-18,NEU
2015-03-19,POS
2015-03-20,NEU
2015-03-21,POS
2015-03-22,NEU
2015-03-23,NEU
2015-03-25,POS
2015-03-26,NEG
2015-03-27,POS
2015-03-28,NEU
2015-03-29,POS
2015-03-30,NEU
2015-03-31,POS
2015-04-01,NEG
2015-04-02,NEU
2015-04-04,NEU
2015-04-05,NEU
2015-04-06,NEU
2015-04-07,POS
2015-04-08,POS
2015-04-09,NEU
2015-04-10,NEU
2015-04-12,POS
2015-04-13,NEU
2015-04-14,POS
2015-04-15,POS
2015-04-16,NEU
2015-04-17,POS
2015-04-18,NEG
2015-04-19,POS
2015-04-20,POS
2015-04-21,POS
2015-04-22,NEU
2015-04-23,NEU
2015-04-24,NEG
2015-04-25,NEG
2015-04-26,POS
2015-04-27,NEU
2015-04-28,POS
2015-04-29,POS
2015-04-30,NEU
2015-05-01,POS
2015-05-02,POS
2015-05-03,NEU
2015-05-04,NEU
2015-05-05,NEG
2015-05-06,POS
2015-05-07,NEU
2015-05-08,POS
2015-05-10,NEU
2015-05-11,POS
2015-05-12,NEG
2015-05-13,NEG
2015-05-15,NEG
2015-05-16,POS
2015-05-17,NEU
2015-05-18,NEU
2015-05-19,NEU
2015-05-20,NEU
2015-05-21,NEU
2015-05-22,NEU
2015-05-23,NEU
2015-05-24,NEU
2015-05-26,NEU
2015-05-27,POS
2015-05-28,POS
2015-05-30,POS
2015-05-31,NEU
2015-06-01,POS
2015-06-02,NEU
2015-06-03,NEU
2015-06-04,POS
2015-06-07,NEU
2015-06-08,NEU
2015-06-09,NEU
2015-06-10,POS
2015-06-11,POS
2015-06-12,NEU
2015-06-13,POS
2015-06-14,POS
2015-06-15,NEU
2015-06-16,NEU
2015-06-17,NEU
2015-06-18,NEU
2015-06-19,POS
2015-06-20,NEU
2015-06-21,NEU
2015-06-22,NEU
2015-06-24,NEU
2015-06-25,POS
2015-06-27,NEU
2015-06-28,POS
2015-06-29,NEG
2015-06-30,NEU
2015-07-01,NEU
2015-07-02,NEU
2015-07-03,POS
2015-07-04,NEU
2015-07-05,NEU
2015-07-06,NEG
2015-07-07,NEU
2015-07-09,POS
2015-07-10,NEU
2015-07-11,NEU
2015-07-12,NEU
2015-07-13,POS
2015-07-14,NEU
2015-07-15,POS
2015-07-16,POS
2015-07-17,NEG
2015-07-18,NEU
2015-07-19,NEU
2015-07-20,NEU
2015-07-21,POS
2015-07-22,NEG
2015-07-23,NEU
2015-07-24,NEU
2015-07-25,POS
2015-07-27,NEG
2015-07-29,NEU
2015-07-30,POS
2015-07-31,NEU
2015-08-01,NEU
2015-08-02,NEU
2015-08-03,NEU
2015-08-04,NEU
2015-08-05,POS
2015-08-06,NEU
2015-08-07,POS
2015-08-08,NEU
2015-08-09,NEU
2015-08-10,POS
2015-08-11,NEU
2015-08-12,NEU
2015-08-13,NEU
2015-08-14,NEU
2015-08-17,NEU
2015-08-18,NEU
2015-08-19,NEG
2015-08-20,NEG
2015-08-21,NEU
2015-08-22,NEU
2015-08-23,NEU
2015-08-24,NEU
2015-08-25,NEG
2015-08-26,NEU
2015-08-27,NEU
2015-08-29,NEU
2015-08-30,NEU
2015-08-31,NEU
2015-09-02,NEU
2015-09-03,NEU
2015-09-04,NEU
2015-09-05,NEU
2015-09-07,NEU
2015-09-08,NEU
2015-09-09,NEU
2015-09-10,POS
2015-09-11,NEU
2015-09-12,NEU
2015-09-14,POS
2015-09-16,NEU
2015-09-19,POS
2015-09-20,NEU
2015-09-21,NEU
2015-09-22,NEU
2015-09-23,NEG
2015-09-24,NEU
2015-09-25,POS
2015-09-26,POS
2015-09-27,NEU
2015-09-28,POS
2015-09-29,POS
2015-09-30,NEU
2015-10-02,NEU
2015-10-03,NEU
2015-10-04,NEU
2015-10-05,NEU
2015-10-06,NEG
2015-10-07,NEG
2015-10-08,NEU
2015-10-09,POS
2015-10-11,POS
2015-10-12,NEU
2015-10-13,NEG
2015-10-14,POS
2015-10-15,NEU
2015-10-16,POS
2015-10-17,POS
2015-10-18,POS
2015-10-19,POS
2015-10-20,NEG
2015-10-21,NEU
2015-10-22,NEG
2015-10-23,POS
2015-10-24,POS
2015-10-25,NEG
2015-10-26,POS
2015-10-27,NEU
2015-10-28,NEU
2015-10-29,NEG
2015-10-30,NEU
2015-10-31,POS
2015-11-01,NEU
2015-11-02,NEG
2015-11-03,NEU
2015-11-04,NEU
2015-11-05,POS
2015-11-06,POS
2015-11-09,POS
2015-11-10,NEU
2015-11-11,POS
2015-11-13,POS
2015-11-16,NEU
2015-11-17,POS
2015-11-18,NEU
2015-11-19,POS
2015-11-20,NEU
2015-11-21,NEU
2015-11-22,NEU
2015-11-23,NEU
2015-11-25,POS
2015-11-26,NEU
2015-11-28,NEU
2015-12-02,NEU
2015-12-03,NEU
2015-12-04,NEU
2015-12-05,NEU
2015-12-06,NEU
2015-12-08,NEG
2015-12-09,POS
2015-12-10,POS
2015-12-11,NEU
2015-12-12,NEU
2015-12-14,NEU
2015-12-20,NEU
2015-12-22,NEU
2015-12-23,NEU
2015-12-24,POS
2015-12-25,NEG
2015-12-27,NEU
2015-12-28,NEU
2015-12-29,POS
2015-12-30,POS
2015-12-31,NEU
